Thứ hạng,Tên người chơi,ELO hiện tại,Số trận đã đấu,Số trận thắng,Tỷ lệ thắng,,Thứ hạng cũ,Thay đổi thứ hạng,,,,,Tham gia giải
1,Domi,"1,964",73,72,98.63%,,1,0,,,,,Domi
2,Singlez,"1,819",66,56,84.85%,,2,0,,,,,Singlez
3,osho,"1,788",69,58,84.06%,,3,0,,,,,osho
4,Ichiban,"1,785",72,61,84.72%,,4,0,,,,,Ichiban
5,Ninh,"1,740",75,58,77.33%,,5,0,,,,,Ninh
6,Moon,"1,728",65,47,72.31%,,6,0,,,,,Moon
7,TriBui,"1,701",66,45,68.18%,,7,0,,,,,TriBui
8,Fervis,"1,671",73,48,65.75%,,8,0,,,,,Fervis
9,Metallica,"1,657",73,51,69.86%,,9,0,,,,,Metallica
10,Vinam,"1,653",72,46,63.89%,,10,0,,,,,Vinam
11,Lancelot,"1,619",85,49,57.65%,,12,1,,,,,
12,LazyOldMan,"1,599",72,44,61.11%,,11,-1,,,,,
13,longnt,"1,548",86,51,59.30%,,13,0,,,,,
14,Kingtruong,"1,511",65,33,50.77%,,14,0,,,,,
15,Ragnar,"1,510",70,34,48.57%,,15,0,,,,,
16,TrieuVoi,"1,507",59,29,49.15%,,16,0,,,,,
17,socnho,"1,505",58,34,58.62%,,17,0,,,,,
18,Afterall,"1,483",67,37,55.22%,,19,1,,,,,
19,Truongbaorong,"1,461",72,28,38.89%,,18,-1,,,,,
20,SieuTitMit,"1,431",69,24,34.78%,,20,0,,,,,
21,Wisdom,"1,407",80,31,38.75%,,21,0,,,,,
22,dailygao,"1,377",72,25,34.72%,,22,0,,,,,
23,Chairma,"1,359",45,12,26.67%,,23,0,,,,,
24,Kephongluu,"1,348",68,20,29.41%,,24,0,,,,,
25,tuanvu,"1,336",63,17,26.98%,,25,0,,,,,
26,gobo2k,"1,332",72,21,29.17%,,26,0,,,,,
27,hoanguyen,"1,323",79,25,31.65%,,27,0,,,,,
28,Prac800ic,"1,297",59,11,18.64%,,28,0,,,,,
29,NghiaDepTrai,"1,262",76,20,26.32%,,29,0,,,,,
30,LichKing,"1,258",45,5,11.11%,,30,0,,,,,
31,DAT93BP,"1,201",41,1,2.44%,,31,0,,,,,
32,Datmm09,"1,112",53,1,1.89%,,32,0,,,,,