Tên người chơi,ELO hiện tại,Công thức cập nhật ELO,Số trận đã đấu,Số trận thắng,Tỷ lệ thắng
Ichiban,1785,72,61,0.8472222222,
Ninh,1740,75,58,0.7733333333,
Vinam,1653,72,46,0.6388888889,
Ragnar,1510,70,34,0.4857142857,
Lancelot,1619,85,49,0.5764705882,
Domi,1964,73,72,0.9863013699,
socnho,1505,58,34,0.5862068966,
osho,1788,69,58,0.8405797101,
longnt,1548,86,51,0.5930232558,
Zodiac,1533,2,2,1,
LazyOldMan,1599,72,44,0.6111111111,
gobo2k,1332,72,21,0.2916666667,
hoanguyen,1323,79,25,0.3164556962,
Chairma,1359,45,12,0.2666666667,
VitaminZ,1426,7,1,0.1428571429,
NghiaDepTrai,1262,76,20,0.2631578947,
Wisdom,1407,80,31,0.3875,
Prac800ic,1297,59,11,0.186440678,
DAT93BP,1201,41,1,0.0243902439,
Truongbaorong,1461,72,28,0.3888888889,
Kingtruong,1511,65,33,0.5076923077,
Moon,1728,65,47,0.7230769231,
Singlez,1819,66,56,0.8484848485,
Datmm09,1112,53,1,0.01886792453,
SieuTitMit,1431,69,24,0.347826087,
2Life,1377,17,2,0.1176470588,
Fervis,1671,73,48,0.6575342466,
Afterall,1483,67,37,0.552238806,
TrungHoang,1427,15,4,0.2666666667,
TrieuVoi,1507,59,29,0.4915254237,
LichKing,1258,45,5,0.1111111111,
GiaBao,1464,3,0,0,
Metallica,1657,73,51,0.698630137,
Daisy,1481,2,0,0,
TriBui,1701,66,45,0.6818181818,
dailygao,1377,72,25,0.3472222222,
tuanvu,1336,63,17,0.2698412698,
Kephongluu,1348,68,20,0.2941176471,